Id,Name,Price,Color,Drive,Engine,Mileage,AccTime
427510, Skoda Octavia II Рестайлинг ,899789,Белый,Передний,1.6,183399,12.3
429324, LADA (ВАЗ) Kalina II ,689789,Черный,Передний,1.6,89267,11.0
441835, Skoda Kodiaq I ,4899000,Черный,Полный,2.0,12,7.5
456094, KIA Sportage III ,1135112,Серебряный,Передний,2.0,209641,10.4
457946, Volkswagen Tiguan I ,921110,Серый,Передний,2.0,261758,
388318," Mercedes-Benz GLC Coupe 2016 – 2019, I (C253) ",3219000,Белый,Полный,2.0,89890,6.5
398687, Audi A5 II (F5) ,2949000,Синий,Полный,2.0,66500,7.4
410642, BMW X4 II (G02) ,4999000,Серый,Полный,2.0,45474,6.3
427935, Audi A6 III (C6) Рестайлинг ,998789,Черный,Передний,2.0,237413,8.7
457268, KIA Rio IV ,1535880,Красный,Передний,1.6,19184,11.2
457931, Skoda Rapid I ,1124110,Белый,Передний,1.6,126121,11.6
378960, KIA Optima IV Рестайлинг ,2168412,Серый,Передний,2.0,86380,10.7
399920, BMW X4 II (G02) ,5550000,Серый,Полный,2.0,35177,8.0
418347," Mercedes-Benz GLC Coupe 2016 – 2019, I (C253) ",4095000,Серый,Полный,2.1,115000,7.6
432177, Nissan X-Trail III ,2569789,Серебристый,Полный,2.5,148072,10.5
457251, Toyota Venza I Рестайлинг ,1757880,Серый,Передний,2.7,266586,9.4
457839, Changan CS35  ,660550,Золотой,Передний,1.6,164703,14.0
457885, Mitsubishi Outlander III Рестайлинг ,1508330,Белый,Передний,2.4,136140,10.5
457932, Volkswagen Polo V Рестайлинг ,854110,Белый,Передний,1.6,97637,10.4
461693, Hyundai Solaris I Рестайлинг ,1069112,Белый,Передний,1.6,156901,11.2
396797, Volkswagen Polo V Рестайлинг ,1910000,Серый,Передний,1.4,82000,9.0
399535, Audi A5 II (F5) Рестайлинг ,3699000,Синий,Полный,2.0,49272,7.6
409657, Volkswagen Tiguan II ,2067890,Серебристый,Полный,2.0,189540,9.3
416969, Ford Mondeo IV Рестайлинг ,869789,Черный,Передний,2.3,219806,10.5
418804, Hyundai Creta I ,1449000,Черный,Полный,1.6,77000,13.1
457331, Mazda CX-5 I ,1540000,Синий,Полный,2.0,220397,9.4
457466, SsangYong Rexton III ,2909000,Белый,Полный,2.7,99038,11.3
457834, Geely Atlas I ,1909330,Серебряный,Передний,2.4,91233,
146237, Renault Sandero II ,999000,Синий,Передний,1.6,60000,12.3
182389," Toyota Corolla XI (E160, E170) ",1795101,Черный,Передний,1.6,93280,11.1
405304," Mercedes-Benz CLA 2013 – 2016, I (C117, X117) ",1640000,Красный,Передний,1.6,173000,8.5
418092, BMW X4 I (F26) ,3400000,Серый,Полный,2.0,52200,8.1
447058, Nissan X-Trail III ,1680000,Серый,Полный,2.0,175666,12.1
457407, Nissan X-Trail II Рестайлинг ,1544000,Серебряный,Полный,2.0,190601,12.5
457743," Mercedes-Benz A-Класс 2012 – 2015, III (W176) ",1454000,Черный,Передний,1.6,124648,8.3
457811, Geely GS I ,1799000,Коричневый,Передний,1.8,79439,10.3
457891, Hyundai Creta I ,1899550,Красный,Передний,1.6,15691,12.1
413513, Skoda Octavia III Рестайлинг ,1990000,Белый,Передний,1.8,76817,7.4
422125, Haval F7 i ,1899000,Черный,Полный,2.0,66000,9.0
424298, KIA Sorento II ,1990000,Бежевый,Передний,2.3,95230,10.8
420062, Volkswagen Polo V Рестайлинг ,1249789,Синий,Передний,1.4,126800,9.0
425890, Land Rover Discovery III ,1049777,Черный,Полный,2.7,320089,11.7
432691, MINI Hatch III (F55/F56) Рестайлинг ,1950000,Белый,Передний,1.5,28263,8.1
433190, Renault Duster  I Рестайлинг ,2019000,Серый,Передний,1.6,65000,10.9
441837, Skoda Kodiaq I ,4700000,Белый,Полный,2.0,36,7.5
442163, Fiat 500 II ,680000,Синий,Передний,1.2,151000,13.0
457310, Volvo S60 II ,1535000,Черный,Передний,2.5,178497,7.2
457329, KIA Soul II Рестайлинг ,1899000,Серый,Передний,2.0,114087,10.2
457857, Peugeot 308 I ,469550,Коричневый,Передний,1.6,152990,13.0
457883, Hyundai Creta I ,1748770,Белый,Передний,2.0,91089,10.7
462158, Ford Focus III Рестайлинг ,1003112,Серый,Передний,1.0,107963,11.2
402310, Hyundai Solaris II ,1999000,Белый,Передний,1.6,290,11.2
405549, Hyundai Creta I ,2210000,Белый,Передний,2.0,10000,10.7
415627, BMW X3 III (G01) ,4349789,Синий,Полный,2.0,93238,8.0
427517, Hyundai Solaris I Рестайлинг ,1249789,Серебристый,Передний,1.6,65464,11.2
427524, Mazda CX-5 II ,3649888,Красный,Полный,2.5,34658,9.0
436028, Hyundai Accent II ,269789,Бежевый,Передний,1.6,169512,10.3
457360, KIA Sorento II ,2799000,Черный,Передний,2.3,170126,10.8
457447, Nissan X-Trail III ,2819000,Белый,Передний,2.0,29663,11.7
463689, Nissan Qashqai I Рестайлинг ,1011112,Коричневый,Передний,1.6,151610,13.0
412151, Mercedes-Benz C-Класс III (W204) Рестайлинг ,1495000,Коричневый,Задний,1.8,143000,8.9
423847, KIA Ceed II Рестайлинг ,1040000,Белый,Передний,1.6,219236,10.8
433608, Skoda Kodiaq I ,2896400,Белый,Полный,1.4,50323,9.7
433626, Volkswagen Jetta VII ,1980777,Серый,Передний,1.6,45992,12.7
457227, Ford Explorer V ,1999770,Черный,Передний,3.5,125489,8.7
395987, KIA Sportage IV Рестайлинг ,2427851,Черный,Полный,2.0,82350,11.6
400445, BMW X4 II (G02) ,5580000,Белый,Полный,2.0,40244,8.0
401811, Infiniti QX50 I Рестайлинг ,2510245,Белый,Полный,2.5,127761,9.5
405592, Volkswagen Multivan T6 ,3900000,Белый,Передний,2.0,92184,13.0
424737, Mitsubishi Outlander III ,1529777,Черный,Передний,2.4,180076,10.5
430103, KIA Soul III ,2399444,Черный,Передний,2.0,46991,10.2
457342, Audi Q5 I (8R) Рестайлинг ,2200000,Синий,Полный,2.0,238685,8.2
457344, Nissan Patrol VI (Y62) ,2500000,Фиолетовый,Полный,5.6,167497,6.6
457890, Hyundai i30 I Рестайлинг ,2041550,Белый,Передний,1.6,117,12.1
397325," Mercedes-Benz E-Класс 2016 – н.в., V (W213, S213, C238) ",4100000,Белый,Задний,1.6,50317,8.4
416978, Audi Q5 II (FY) ,3500000,Белый,Полный,2.0,76331,6.3
454111, Mitsubishi Outlander III Рестайлинг 3 ,2479000,Коричневый,Передний,2.0,77000,11.4
457293, Citroen C3 Aircross  ,1699000,Серый,Передний,1.6,93909,11.7
457363, KIA Sorento I ,3599000,Белый,Задний,3.5,52208,
